decimalLongitude,decimalLatitude,basisOfRecord,scientificName,remark
128.19214,36.481298,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.582966,36.071572,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.023333,35.312089,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20534,36.48499,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000757,35.251819,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.21128,36.48286,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000613,35.251567,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.19248,36.48119,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.013337,34.410086,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.001039,35.245129,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.001039,35.245129,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000826,35.245177,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
